COD_ETB;LIB_OFF_ETB;LIB_AD1_ETB;COD_POS_ADR_ETB;LIB_COM
0130157A;Lycée Professionnel Ferrages (quartier Les);Quartier Les Ferrages;13250;St Chamas
6200004K;Lycée Professionnel Finosello;Av Mal Lyautey;20189;Ajaccio
0611287T;Lycée Professionnel Flers;;61100;Flers
0330060L;Lycée Professionnel Flora Tristan;Domaine De La Chausse;33360;Camblanes Et Meynac
0610019P;Lycée Professionnel Flora Tristan;7 9 Av Meunier De La Raillere;61600;La Ferte Mace
0620121V;Lycée Professionnel Flora Tristan;9 Ave Du General De Gaulle;62192;Lillers
0920170K;Lycée Professionnel Florian;9 Bis Rue De La Marne;92330;Sceaux
0130056R;Lycée Professionnel Floride (la);54 Bd Gay Lussac Zin 903;13014;Marseille 14
0060023T;Lycée Professionnel Francis De Croisset;34 Chemin De La Cavalerie;06130;Grasse
0640053K;Lycée Professionnel Francis Jammes;Route De Mont De Marsan;64301;Orthez
0511748Y;Lycée Professionnel Francois 1er;Faubourg De Vitry Le Brule;51308;Vitry Le Francois
0620144V;Lycée Professionnel Francois Albert;Rue Jules Mousseron;62290;Noeux Les Mines
0440033X;Lycée Professionnel Francois Arago;23 Rue Du Recteur Schmitt;44322;Nantes
0090020Y;Lycée Professionnel Francois Camel;28 Rue Jules Ferry;09201;St Girons
0693095P;Lycée Professionnel Francois Cevert;104 Chemin De La Sauvegarde;69132;Ecully
0623377J;Lycée Professionnel Francois Hennebique;Rue Colbert;62804;Lievin
0260041D;Lycée Professionnel Francois Jean Armorin;35 Avenue H.grand;26402;Crest
0594302F;Lycée Professionnel Francois Mansart;270 Avenue Henri Barbusse;59582;Marly
0580552K;Lycée Professionnel Francois Mitterrand;Rue Pierre Mendes France;58120;Chateau Chinon Ville
0595894L;Lycée Professionnel Francois Rabelais;817 Rue Charles Bourseul;59507;Douai
0021479X;Lycée Professionnel Francoise Dolto;4 Avenue Des Lilas;02120;Guise
0382274R;Lycée Professionnel Francoise Dolto;4 Rue Piardiere;38120;Fontanil Cornillon
0710079A;Lycée Professionnel Francoise Dolto;1 Rue Capitaine Priet;71307;Montceau Les Mines
0930138V;Lycée Professionnel Frederic Bartholdi;12 Rue De La Liberte;93200;St Denis
0690106R;Lycée Professionnel Frederic Fays;46 Rue Frederic Fays;69615;Villeurbanne
0130062X;Lycée Professionnel Frederic Mistral;46 Boulevard Sainte Anne;13417;Marseille 08
0220187J;Lycée Professionnel Fulgence Bienvenue;Rue Eon De L'etoile;22606;Loudeac
0540084Y;Lycée Professionnel Fulgence Bienvenue;10 Rue Prosper Merimee;54580;Auboue
0720034W;Lycée Professionnel Funay-helene Boucher;22 Rue Rodolphe Diesel;72003;Le Mans
0310056T;Lycée Professionnel Gabriel Peri;30 Rue Gabriel Peri;31013;Toulouse
0940132H;Lycée Professionnel Gabriel Peri;41 Avenue Boileau;94500;Champigny Sur Marne
0011118K;Lycée Professionnel Gabriel Voisin;21 Avenue De Jasseron;01000;Bourg En Bresse
0100945Y;Lycée Professionnel Gabriel Voisin;Chemin Des Champs De La Loge;10012;Troyes
0380100C;Lycée Professionnel Galilee;124 Avenue General Leclerc;38209;Vienne
0750785W;Lycée Professionnel Galilee;28 Rue De Patay;75013;Paris 13
0380010E;Lycée Professionnel Gambetta;14 Avenue Gambetta;38309;Bourgoin Jallieu
0130006L;Lycée Professionnel Gambetta (cours);100 Bis Cours Gambetta;13100;Aix En Provence
0100906F;Lycée Professionnel Gaston Bachelard;5 Bis Rue Gaston Bachelard;10200;Bar Sur Aube
0750553U;Lycée Professionnel Gaston Bachelard;2 Rue Tagore;75013;Paris 13
0300057Z;Lycée Professionnel Gaston Darboux;7 Rue Jules Raimu;30908;Nimes
0530778H;Lycée Professionnel Gaston Lesnard;84 Boulevard Volney;53015;Laval
0020077Y;Lycée Professionnel Gay Lussac;Boulevard Gambetta;02302;Chauny
0870013S;Lycée Professionnel George Sand;9 Rue De L'hozanne;87210;Le Dorat
0720065E;Lycée Professionnel George Washington;8 Place Washington;72002;Le Mans
0572175E;Lycée Professionnel Georges Bastide;Square Georges Bastide;57150;Creutzwald
0880056H;Lycée Professionnel Georges Baumont;Rue De L'orme;88102;St Die Des Vosges
0300951W;Lycée Professionnel Georges Brassens;Avenue Vigan Braquet;30205;Bagnols Sur Ceze
0590250B;Lycée Professionnel Georges Bustin;13 Rue Du 8 Mai 1945;59690;Vieux Conde
0190045W;Lycée Professionnel Georges Cabanis;6 Boulevard Henry De Jouvenel;19311;Brive La Gaillarde
0270052K;Lycée Professionnel Georges Dumezil;Route D'ivry;27207;Vernon
0590198V;Lycée Professionnel Georges Guynemer;99 Rue De La Republique;59430;St Pol Sur Mer
0740054G;Lycée Professionnel Germain Sommeiller;2 Boulevard Taine;74008;Annecy
0280925D;Lycée Professionnel Gilbert Courtois;2 Rue Salvador Allende;28105;Dreux
0630053R;Lycée Professionnel Gilbert Romme;75 Rue Du Creux;63201;Riom
0170025K;Lycée Professionnel Gilles Jamain;2a Boulevard Pouzet;17312;Rochefort
0510017S;Lycée Professionnel Godart Roger;8 Rue Godart Roger;51331;Epernay
0831014B;Lycée Professionnel Golf-hotel;Allee Georges Dussauge;83400;Hyeres
0940140S;Lycée Professionnel Gourdou-leseurre;50-56 Boulevard De Champigny;94210;St Maur Des Fosses
0141640G;Lycée Professionnel Guibray;8 Rue Des Champs St Georges;14700;Falaise
0030905T;Lycée Professionnel Gustave Eiffel;Rue Jules Bertin;03800;Gannat
0110034C;Lycée Professionnel Gustave Eiffel;2 Rue Jean Moulin;11108;Narbonne
0130013U;Lycée Professionnel Gustave Eiffel;Avenue Manoukian;13682;Aubagne
0370053G;Lycée Professionnel Gustave Eiffel;1 Rue Marechal Augereau;37073;Tours
0590262P;Lycée Professionnel Gustave Eiffel;96 Rue Jules Lebleu;59427;Armentieres
0690008J;Lycée Professionnel Gustave Eiffel;6 A 12 Av Ferdinand Gaillard;69530;Brignais
0752961L;Lycée Professionnel Gustave Eiffel;1 Rue Du General Camou;75007;Paris 07
0770945J;Lycée Professionnel Gustave Eiffel;4 Av. D'ormes;77130;Varennes Sur Seine
0910632T;Lycée Professionnel Gustave Eiffel;9 Avenue De La Republique;91300;Massy
0951673C;Lycée Professionnel Gustave Eiffel;9 Allee Jean De Florette;95120;Ermont
0750775K;Lycée Professionnel Gustave Ferrie;7 Rue Des Ecluses St Martin;75010;Paris 10
0760142S;Lycée Professionnel Gustave Flaubert;1 Rue Albert Dupuis;76044;Rouen
0590255G;Lycée Professionnel Guy Debeyre;R Ctre Torpilleur Le Triomphant;59383;Dunkerque
0310051M;Lycée Professionnel Guynemer;43 Rue Leo Lagrange;31400;Toulouse
0640049F;Lycée Professionnel Guynemer;1 Av Du 19 Mars 1962;64404;Oloron Ste Marie
0670067J;Lycée Professionnel Haute-bruche;18 Rue Des Grives;67131;Schirmeck
0750802P;Lycée Professionnel Hector Guimard;19 Rue Curial;75019;Paris 19
0441823T;Lycée Professionnel Heinlex;1 Rue Albert Einstein;44600;St Nazaire
0540059W;Lycée Professionnel Helene Bardot;12 Place Saint Antoine;54701;Pont A Mousson
0690093B;Lycée Professionnel Helene Boucher;18 Rue Rosenberg;69631;Venissieux
0371099U;Lycée Professionnel Henri Becquerel;1 Rue Jules Ladoumegue;37000;Tours
0332344U;Lycée Professionnel Henri Brulle;Route De St Emilion;33503;Libourne
0620190V;Lycée Professionnel Henri Darras;Chemin Des Manufactures;62803;Lievin
0490784L;Lycée Professionnel Henri Dunant;15 Rue De Haarlem;49017;Angers
0700011G;Lycée Professionnel Henri Fertet;Place Du General Boichut;70104;Gray
0780584L;Lycée Professionnel Henri Matisse;55 Rue De Montfort;78196;Trappes
0623328F;Lycée Professionnel Henri Senez;Bd F Darchicourt;62252;Henin Beaumont
0541290J;Lycée Professionnel Henri Wallon;1 Rue Henry Wallon;54190;Villerupt
0640058R;Lycée Professionnel Honore Baradat;Avenue Du Loup;64050;Pau
0660520G;Lycée Professionnel Hotel Resto Leon Blum;15 Avenue Paul Alduy;66103;Perpignan
0070016E;Lycée Professionnel Hotelier;Route De Tauriers;07110;Largentiere
0910629P;Lycée Professionnel Hotelier Chateau Des Coudraies;2 Bd Charles De Gaulle;91450;Etiolles
0650874X;Lycée Professionnel Hotelier Et Econom Lautreamont;Avenue D Azereix;65016;Tarbes
0740014N;Lycée Professionnel Hotelier Francois Bise;86 Rue D'asniere;74136;Bonneville
0640042Y;Lycée Professionnel Hotelier Haute Vue;Avenue Des Cimes;64160;Morlaas
9740738J;Lycée Professionnel Hotelier La Renaissance;63 Rue Auguste Vinson;97867;St Paul
0573080N;Lycée Professionnel Hurlevent;Rue Du Petit Bois;57460;Behren Les Forbach
